fecha,estacion,no2,pm10,o3,temperatura
2026-04-01,Ejea de los Caballeros,27.9,16.0,68.0,"18,6"
2026-04-01,Luna ,6.4,26.9,95.6,"14,7"
2026-04-01,Sádaba,9.0,15.3,84.7,"18,1"
2026-04-01,Tauste,35.5,28.5,72.1,"14,7"
2026-04-02,Ejea de los Caballeros,20.9,17.5,77.7,"12,6"
2026-04-02,Luna,4.2,20.9,77.6,"7,7"
2026-04-02,Sádaba,9.8,16.7,81.4,"9,3"
2026-04-02,TAUSTE,30.7,32.9,64.9,"11,1"
2026-04-03,Ejea de los Caballeros,23.4,28.6,72.9,"11,4"
2026-04-03,Luna,9.0,27.2,80.3,"12,9"
2026-04-03,Sádaba,,19.0,85.7,"11,4"
2026-04-03,Tauste,29.3,36.0,59.2,"13,2"
2026-04-04,Ejea de los Caballeros,16.1,16.6,74.1,"18,7"
2026-04-04,Luna,7.4,14.6,96.3,"11,6"
2026-04-04,Sádaba,11.8,20.4,85.4,"15,8"
2026-04-04,Tauste,22.2,25.3,65.9,"13,0"
2026-04-05,Ejea de los Caballeros,22.7,21.2,73.6,"14,6"
2026-04-05,Luna,2.8,8.2,90.6,"9,5"
2026-04-05,Sádaba,4.3,19.4,88.7,"12,0"
2026-04-05,Tauste,28.5,52.6,62.8,"11,5"
2026-04-06,Ejea de los Caballeros,25.2,29.9,79.4,"14,1"
2026-04-06,Luna,4.2,20.6,85.9,"9,3"
2026-04-06,Sádaba,18.5,16.9,91.9,"9,2"
2026-04-06,Tauste,22.1,19.8,50.9,"11,5"
2026-04-07,Ejea de los Caballeros,22.8,31.5,62.7,"13,0"
2026-04-07,Luna,9.1,24.0,95.1,"14,5"
2026-04-07,Sádaba,10.8,24.2,88.0,"10,4"
2026-04-07,Tauste,24.2,34.3,72.3,"8,5"
2026-04-08,Ejea de los Caballeros,24.8,30.7,61.6,"11,0"
2026-04-08,Luna,8.1,19.4,94.2,"7,3"
2026-04-08,Sádaba,6.1,17.8,98.2,"9,3"
2026-04-08,Tauste,27.9,19.9,58.8,"15,9"
2026-04-09,Ejea de los Caballeros,19.0,30.1,71.5,"8,3"
2026-04-09,Luna,8.5,15.7,85.1,"13,8"
2026-04-09,Sadaba,6.5,13.8,99.9,"17,1"
2026-04-09,Tauste,33.4,31.0,61.2,"11,2"
2026-04-10,Ejea de los Caballeros ,23.9,36.7,78.5,"14,3"
2026-04-10,Luna,12.9,32.5,86.5,"16,8"
2026-04-10,Sádaba,7.3,14.1,85.4,"16,2"
2026-04-10,Tauste,32.5,41.2,73.7,"9,4"
2026-04-11,Ejea de los Caballeros,21.5,23.5,70.6,"17,8"
2026-04-11,Luna,3.8,24.6,86.2,"11,1"
2026-04-11,Sádaba,7.7,27.8,91.8,"12,2"
2026-04-11,Tauste,16.9,37.9,71.1,"9,7"
2026-04-12,EJEA DE LOS CABALLEROS,18.2,14.2,84.1,"13,3"
2026-04-12,Luna,17.2,29.1,90.0,"10,8"
2026-04-12,Sádaba,5.8,22.3,98.3,"8,7"
2026-04-12,Tauste,,35.0,72.9,"15,1"
2026-04-13,Ejea de los Caballeros,16.8,27.2,84.1,"11,6"
2026-04-13,Luna,1,13.1,90.9,"17,2"
2026-04-13,Sádaba,6.0,13.9,95.9,"10,8"
2026-04-13,Tauste,26.6,43.1,57.6,"14,3"
2026-04-14,Ejea de los Caballeros,24.1,30.0,76.4,"17,3"
2026-04-14,Luna ,12.2,21.9,90.9,"14,5"
2026-04-14,Sádaba,9.6,16.7,84.9,"12,8"
2026-04-14,tauste,33.4,28.5,75.9,"13,2"
