id,localidad,tipo,superficie_m2,habitaciones,banos,antiguedad_anios,planta,ascensor,estado,calificacion_energetica,calefaccion,visitas_anuncio,precio_mes,dias_hasta_alquiler,contacto_anunciante,alquilada_rapido
VIV-001,Tauste,piso,50,3,1,69,5,sí,bueno,F,sí,21,270,61,anuncio001@example.org,no
VIV-002,Tauste,casa,147,5,2,12,0,no,reformado,B,no,5,685,8,anuncio002@example.org,sí
VIV-003,Sádaba,casa,211,6,3,95,0,no,bueno,F,sí,7,710,3,anuncio003@example.org,sí
VIV-004,Sádaba,adosado,149,5,2,31,0,no,reformado,C,sí,10,685,41,anuncio004@example.org,no
VIV-005,Sádaba,piso,52,1,1,61,3,sí,bueno,E,sí,6,240,20,anuncio005@example.org,sí
VIV-006,Ejea de los Caballeros,casa,157,5,2,19,0,no,reformado,C,no,7,680,4,anuncio006@example.org,sí
VIV-007,Ejea de los Caballeros,piso,45,2,1,36,0,sí,reformado,D,sí,19,315,162,anuncio007@example.org,no
VIV-008,Biota,piso,82,2,2,67,3,no,bueno,G,sí,2,255,3,anuncio008@example.org,sí
VIV-009,Ejea de los Caballeros,casa,138,5,2,59,0,no,bueno,F,sí,3,530,1,anuncio009@example.org,sí
VIV-010,Biota,piso,56,2,1,15,3,no,nuevo,B,sí,12,260,240,anuncio010@example.org,no
VIV-011,Ejea de los Caballeros,piso,85,3,2,84,5,no,nuevo,F,no,7,420,9,anuncio011@example.org,sí
VIV-012,Tauste,piso,85,3,2,17,5,sí,bueno,C,sí,8,460,16,anuncio012@example.org,sí
VIV-013,Ejea de los Caballeros,piso,66,1,1,43,3,sí,bueno,D,sí,26,400,78,anuncio013@example.org,no
VIV-014,Uncastillo,piso,85,4,2,55,4,sí,bueno,C,no,7,295,20,anuncio014@example.org,sí
VIV-015,Tauste,adosado,151,3,2,23,0,no,bueno,C,no,8,610,10,anuncio015@example.org,sí
VIV-016,Erla,piso,112,4,2,15,2,sí,reformado,C,sí,8,425,124,anuncio016@example.org,no
VIV-017,Tauste,piso,124,4,2,46,5,sí,bueno,E,sí,15,660,41,anuncio017@example.org,no
VIV-018,Ejea de los Caballeros,piso,125,4,2,30,0,no,bueno,D,no,4,500,2,anuncio018@example.org,sí
VIV-019,Sádaba,piso,99,3,2,8,4,sí,reformado,A,no,12,455,67,anuncio019@example.org,no
VIV-020,Biota,casa,127,4,2,15,0,no,bueno,B,sí,7,425,15,anuncio020@example.org,sí
VIV-021,Uncastillo,piso,73,3,1,53,0,sí,bueno,D,no,10,265,52,anuncio021@example.org,no
VIV-022,Erla,piso,129,5,2,7,5,sí,reformado,A,sí,13,560,240,anuncio022@example.org,no
VIV-023,Tauste,adosado,116,3,2,73,0,no,a reformar,E,sí,3,390,1,anuncio023@example.org,sí
VIV-024,Tauste,piso,55,1,1,26,1,no,reformado,D,no,16,290,34,anuncio024@example.org,no
VIV-025,Ejea de los Caballeros,adosado,175,5,3,37,0,no,reformado,C,sí,12,1000,57,anuncio025@example.org,no
VIV-026,Sádaba,casa,95,3,2,28,0,no,bueno,C,sí,7,370,10,anuncio026@example.org,sí
VIV-027,Ejea de los Caballeros,piso,125,4,2,18,4,sí,a reformar,C,sí,4,515,3,anuncio027@example.org,sí
VIV-028,Sos del Rey Católico,piso,95,3,2,44,1,sí,a reformar,D,sí,3,340,8,anuncio028@example.org,sí
VIV-029,Tauste,piso,125,4,2,37,4,no,nuevo,C,sí,22,660,56,anuncio029@example.org,no
VIV-030,Ejea de los Caballeros,adosado,168,5,2,32,0,no,reformado,C,sí,24,905,33,anuncio030@example.org,no
VIV-031,Ejea de los Caballeros,piso,126,4,2,21,3,sí,bueno,B,sí,7,700,24,anuncio031@example.org,sí
VIV-032,Sos del Rey Católico,piso,81,2,2,50,1,no,bueno,C,no,4,250,3,anuncio032@example.org,sí
VIV-033,Ejea de los Caballeros,piso,96,2,2,29,2,no,reformado,C,sí,7,480,7,anuncio033@example.org,sí
VIV-034,Sádaba,piso,58,1,1,57,1,no,reformado,C,sí,10,265,27,anuncio034@example.org,sí
VIV-035,Ejea de los Caballeros,piso,86,3,2,85,1,sí,bueno,F,no,5,395,3,anuncio035@example.org,sí
VIV-036,Tauste,piso,63,1,1,92,5,sí,bueno,G,sí,12,310,23,anuncio036@example.org,sí
VIV-037,Sos del Rey Católico,piso,105,2,2,51,0,no,bueno,D,sí,2,320,5,anuncio037@example.org,sí
VIV-038,Sádaba,casa,223,5,3,37,0,no,bueno,A,sí,4,745,5,anuncio038@example.org,sí
VIV-039,Ejea de los Caballeros,piso,80,3,2,23,2,sí,bueno,A,sí,8,460,9,anuncio039@example.org,sí
VIV-040,Luna,adosado,130,3,2,62,0,no,reformado,E,no,5,455,14,anuncio040@example.org,sí
VIV-041,Sádaba,piso,88,4,2,68,2,sí,nuevo,G,sí,11,430,85,anuncio041@example.org,no
VIV-042,Tauste,piso,85,4,2,40,0,no,a reformar,D,no,3,235,1,anuncio042@example.org,sí
VIV-043,Tauste,piso,117,5,2,12,1,no,reformado,A,sí,17,615,43,anuncio043@example.org,no
VIV-044,Biota,piso,77,3,1,26,5,sí,bueno,A,sí,5,270,32,anuncio044@example.org,no
VIV-045,Tauste,casa,206,5,3,84,0,no,reformado,F,no,6,765,2,anuncio045@example.org,sí
VIV-046,Luna,piso,122,3,2,52,0,no,a reformar,D,sí,6,370,13,anuncio046@example.org,sí
VIV-047,Luna,adosado,149,4,2,48,0,no,a reformar,D,sí,1,410,5,anuncio047@example.org,sí
VIV-048,Tauste,casa,180,5,3,51,0,no,bueno,E,sí,6,800,11,anuncio048@example.org,sí
VIV-049,Ejea de los Caballeros,piso,47,1,1,41,2,sí,bueno,B,no,5,245,9,anuncio049@example.org,sí
VIV-050,Tauste,casa,92,3,2,37,0,no,bueno,B,no,4,420,8,anuncio050@example.org,sí
VIV-051,Ejea de los Caballeros,piso,75,2,1,5,2,sí,bueno,C,sí,11,420,18,anuncio051@example.org,sí
VIV-052,Tauste,casa,146,4,2,7,0,no,bueno,A,sí,13,605,9,anuncio052@example.org,sí
VIV-053,Tauste,piso,53,2,1,39,1,no,bueno,D,no,8,225,6,anuncio053@example.org,sí
VIV-054,Sos del Rey Católico,casa,177,6,3,33,0,no,bueno,B,sí,4,560,14,anuncio054@example.org,sí
VIV-055,Tauste,casa,193,6,3,26,0,no,a reformar,D,sí,6,710,2,anuncio055@example.org,sí
VIV-056,Luna,casa,105,3,2,22,0,no,bueno,C,sí,10,360,47,anuncio056@example.org,no
VIV-057,Erla,piso,123,4,2,7,1,no,bueno,A,sí,13,440,120,anuncio057@example.org,no
VIV-058,Ejea de los Caballeros,casa,191,6,3,13,0,no,bueno,B,no,2,855,4,anuncio058@example.org,sí
VIV-059,Tauste,piso,90,4,2,5,2,sí,bueno,B,sí,15,450,27,anuncio059@example.org,sí
VIV-060,Ejea de los Caballeros,casa,147,5,2,59,0,no,reformado,F,no,8,715,11,anuncio060@example.org,sí
VIV-061,Ejea de los Caballeros,piso,121,4,2,44,2,sí,bueno,A,no,15,535,14,anuncio061@example.org,sí
VIV-062,Uncastillo,piso,74,3,1,15,5,sí,a reformar,B,sí,2,225,7,anuncio062@example.org,sí
VIV-063,Erla,piso,107,1,2,31,3,sí,a reformar,C,sí,3,260,3,anuncio063@example.org,sí
VIV-064,Sádaba,adosado,105,3,2,95,0,no,bueno,G,sí,4,295,1,anuncio064@example.org,sí
VIV-065,Uncastillo,casa,117,3,2,28,0,no,bueno,C,sí,5,350,6,anuncio065@example.org,sí
VIV-066,Tauste,piso,81,2,2,11,0,no,reformado,C,sí,14,440,39,anuncio066@example.org,no
VIV-067,Ejea de los Caballeros,casa,216,6,3,29,0,no,reformado,D,sí,21,1210,57,anuncio067@example.org,no
VIV-068,Ejea de los Caballeros,piso,106,2,2,17,3,sí,reformado,B,sí,24,610,48,anuncio068@example.org,no
VIV-069,Sádaba,casa,130,4,2,49,0,no,reformado,D,sí,9,480,20,anuncio069@example.org,sí
VIV-070,Luna,piso,59,3,1,16,3,sí,bueno,D,sí,9,235,44,anuncio070@example.org,no
VIV-071,Ejea de los Caballeros,adosado,168,5,2,50,0,no,bueno,G,sí,20,810,33,anuncio071@example.org,no
VIV-072,Biota,casa,175,5,3,16,0,no,nuevo,A,sí,9,765,155,anuncio072@example.org,no
VIV-073,Biota,piso,54,1,1,24,1,no,reformado,B,no,7,175,16,anuncio073@example.org,sí
VIV-074,Tauste,casa,192,6,3,20,0,no,nuevo,B,sí,8,920,16,anuncio074@example.org,sí
VIV-075,Ejea de los Caballeros,casa,144,5,2,36,0,no,bueno,B,no,2,540,1,anuncio075@example.org,sí
VIV-076,Ejea de los Caballeros,adosado,176,6,3,2,0,no,nuevo,A,sí,21,1000,76,anuncio076@example.org,no
VIV-077,Sos del Rey Católico,piso,77,2,1,1,4,sí,nuevo,A,sí,9,380,120,anuncio077@example.org,no
VIV-078,Ejea de los Caballeros,casa,141,5,2,51,0,no,bueno,C,no,4,545,1,anuncio078@example.org,sí
VIV-079,Ejea de los Caballeros,piso,112,5,2,12,1,no,bueno,A,sí,12,635,18,anuncio079@example.org,sí
VIV-080,Ejea de los Caballeros,casa,127,4,2,95,0,no,bueno,G,no,2,510,5,anuncio080@example.org,sí
VIV-081,Ejea de los Caballeros,piso,102,2,2,15,5,no,bueno,C,sí,22,580,62,anuncio081@example.org,no
VIV-082,Tauste,piso,100,4,2,15,0,sí,a reformar,C,sí,11,415,11,anuncio082@example.org,sí
VIV-083,Luna,casa,97,2,2,32,0,no,reformado,D,sí,9,355,32,anuncio083@example.org,no
VIV-084,Ejea de los Caballeros,piso,120,3,2,20,3,sí,bueno,D,sí,12,700,26,anuncio084@example.org,sí
VIV-085,Biota,piso,75,3,1,5,1,sí,bueno,C,sí,8,265,21,anuncio085@example.org,sí
VIV-086,Tauste,piso,102,3,2,83,5,no,reformado,G,no,13,470,24,anuncio086@example.org,sí
VIV-087,Luna,piso,77,3,1,95,0,sí,reformado,E,sí,13,330,137,anuncio087@example.org,no
VIV-088,Tauste,adosado,138,5,2,33,0,no,nuevo,C,sí,21,780,51,anuncio088@example.org,no
VIV-089,Tauste,casa,193,5,3,29,0,no,reformado,D,sí,7,840,9,anuncio089@example.org,sí
VIV-090,Tauste,casa,234,6,3,33,0,no,bueno,C,sí,9,990,23,anuncio090@example.org,sí
VIV-091,Ejea de los Caballeros,adosado,100,3,2,10,0,no,a reformar,B,sí,4,385,1,anuncio091@example.org,sí
VIV-092,Ejea de los Caballeros,piso,90,4,2,74,1,no,bueno,F,no,11,385,6,anuncio092@example.org,sí
VIV-093,Biota,piso,81,2,2,26,0,no,bueno,C,sí,9,270,28,anuncio093@example.org,sí
VIV-094,Uncastillo,piso,48,1,1,61,0,sí,bueno,F,no,6,160,10,anuncio094@example.org,sí
VIV-095,Ejea de los Caballeros,piso,61,3,1,12,5,sí,a reformar,B,sí,10,310,14,anuncio095@example.org,sí
VIV-096,Sos del Rey Católico,casa,211,6,3,44,0,no,a reformar,D,no,4,490,1,anuncio096@example.org,sí
VIV-097,Tauste,piso,82,3,2,45,1,no,reformado,E,sí,19,480,100,anuncio097@example.org,no
VIV-098,Luna,piso,47,2,1,40,4,no,bueno,C,sí,16,200,59,anuncio098@example.org,no
VIV-099,Ejea de los Caballeros,casa,205,6,3,45,0,no,a reformar,C,no,3,615,1,anuncio099@example.org,sí
